Team,Wins,Losses,WinPct,PtsFor,PFPW,PtsAgnst,PAPW,AveOppWinPct,QBPts,AveQBPts,RBPts,AveRBPts,WRPts,AveWRPts,TEPts,AveTEPts,FlexPts,AveFlexPts,DSTPts,AveDSTPts,KPts,AveKPts,Moves,DraftPick,MadePlayoffs,Winner
Team0,6,8,0.43,1634.84,116.77,1675.38,119.67,0.48,222.34,15.88,400.2,28.59,372.4,26.6,215.5,15.39,177.9,12.71,103,7.36,124,8.86,31,9,0,0
Team1,2,12,0.14,1134.3,94.53,1624.02,116,0.53,114.3,8.16,372.36,26.6,300.1,21.44,95.4,6.81,163.6,11.69,66,4.71,42,3,9,7,0,0
Team2,12,2,0.86,1977.08,164.76,1613.24,115.23,0.47,280.68,20.05,518.2,37.01,520.3,37.16,211.4,15.1,194.5,13.89,148,10.57,104,7.43,18,2,1,0
Team3,8,6,0.57,1819.94,151.66,1689.72,120.69,0.52,272.74,19.48,525,37.5,396.9,28.35,176.6,12.61,221.7,15.84,97,6.93,130,9.29,29,4,1,0
Team4,7,7,0.5,1594.9,132.91,1715.08,122.51,0.47,278.2,19.87,423.6,30.26,427.5,30.54,159.2,11.37,160.4,11.46,55,3.93,91,6.5,14,6,0,0
Team5,5,9,0.36,1485.48,123.79,1676.32,119.74,0.55,207.08,14.79,373.2,26.66,362.6,25.9,154.9,11.06,173.7,12.41,94,6.71,118,8.43,36,1,0,0
Team6,7,7,0.5,1712.9,142.74,1644.38,117.46,0.53,323.5,23.11,467,33.36,487.5,34.82,100.2,7.16,147.7,10.55,79,5.64,108,7.71,2,5,0,0
Team7,4,10,0.29,1542.4,128.53,1651.3,117.95,0.51,314.5,22.46,371.6,26.54,360.2,25.73,116.2,8.3,177,12.64,104,7.43,99,7.07,15,3,0,0
Team8,11,3,0.79,1965.2,163.77,1611.42,115.1,0.43,308.6,22.04,509,36.36,520.2,37.16,205.4,14.67,181.9,12.99,92,6.57,148,10.57,20,10,1,1
Team9,8,6,0.57,1683.8,140.32,1649.98,117.86,0.52,206.2,14.73,363.2,25.94,489.94,35,147.7,10.55,234.66,16.76,107,7.64,135,9.64,29,8,1,0
